Date,Type,Link
2020-06-23 17:08:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6681117085340340225
2020-06-23 00:49:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6680792472286760960
2020-06-21 23:51:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6680543991827578880
2020-06-21 22:05:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6680540144786776064
2020-06-20 11:25:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6679322665179787264?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6679322665179787264%2C6680004602785529856%29
2020-06-19 23:58:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6679507788533645312
2020-06-19 09:08:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6679322665179787264?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6679322665179787264%2C6679635293001326592%29
2020-06-18 12:43:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6679113709639536640
2020-06-15 20:20:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6677349531241234432
2020-06-10 22:34:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6676181816405315584
2020-06-08 07:53:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6675569788317761536
2020-06-07 12:22:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6674627176006074368
2020-06-05 16:52:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6674693520021835777
2020-06-05 14:55:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6673317690934865920
2020-06-05 14:52:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6673316720993824768
2020-06-05 14:42:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6674046546457305088
2020-06-04 23:17:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6672256869836304384
2020-06-04 23:15:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6674343207456792576
2020-06-01 03:27:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6671671851514654720
2020-06-01 03:23:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6672964905114599424
2020-05-31 17:10:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6672222933395484672
2020-05-31 17:10:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6671768470943756288
2020-05-31 17:09:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6672811557556117504
2020-05-31 17:03:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6672073753054220288
2020-05-26 19:33:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6670575436751228928
2020-05-24 00:02:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6668250867180830720
2020-05-23 23:58:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6669843193464401920
